cor.locs,Latitude,Longitude
"Maharshi Dayanand Univ, Med Microbiol & Bioproc Technol Lab, Dept Microbiol, Rohtak, Haryana, India.",28.8768269,76.621108
"North Eastern Hill Univ, Dept Basic Sci & Social Sci, Sch Technol, Shillong 793022, Meghalaya, India.",25.6091604,91.8971103
"Ind Toxicol Res Ctr, Environm Chem Div, POB 80, Lucknow 226001, Uttar Pradesh, India.",26.8537051,80.9484195
"Seribiotech Res Lab, Carmelaram Post,CSB Campus, Bangalore 560035, Karnataka, India.",12.90188,77.7067126
"Natl Bot Res Inst, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India.",26.8562834,80.948002
"Atom Minerals Directorate Explorat & Res, Hyderabad 500016, Andhra Pradesh, India.",15.9128998,79.7399875
"Islamiah Coll, Dept Biotechnol, Vaniyambadi 635752, Tamil Nadu, India.",12.675503,78.6281705
"Dr Hari Singh Gour Vishwavidyalaya, Dept Bot, Forest Ecol & Ecogen Lab, Sagar 470003, Madhya Pradesh, India.",23.8265828,78.7751302
"Natl Univ Singapore, Dept Biol Sci, 14 Sci Dr 4, Singapore 117543, Singapore.",1.296119,103.778134
"Indian Inst Sci, Ctr Ecol Sci, Bangalore 560012, Karnataka, India.",13.0140114,77.565762
"Poonch Forest Div, Indian Forest Serv, Forest Complex, Poonch 185101, Jammu & Kashmir, India.",33.8658929,73.7580228
"Qatar Fdn, Weill Cornell Med Coll Qatar, Box 24144, Educ City, Doha, Qatar.",25.2854473,51.5310398
NA,,
NA,,
"Amity Univ, Amity Coll Commerce & Finance, Noida, India.",28.5442072,77.3318903
"Shiv Nader Univ, Sch Nat Sci, Dept Math, PO Shiv Nader Univ, Gautam Buddha Nagar 201314, Uttar Pradesh, India.",28.5263782,77.5748376
"Indian Inst Soil Sci, Bhopal 462038, Madhya Pradesh, India.",23.3146602,77.4099497
"Tokyo Univ Agr & Technol, Inst Agr, 3-5-8 Saiwai Cho, Fuchu, Tokyo 1838509, Japan.",35.7451187,139.6999923
"Univ Aberdeen, IMMPACT, Sch Med & Dent, 2nd Floor,Hlth Sci Bldg,Foresterhill, Aberdeen AB25 2ZD, Scotland.",57.16476,-2.1015257
"Lala Lajpat Rai Univ Vet & Anim Sci, Coll Vet Sci, Dept Vet Parasitol, Hisar 125004, Haryana, India.",29.1421057,75.726724
"So Reg Ctr, Energy & Resources Inst TERI, 4th Main,2nd Cross,Domlur 2nd Stage, Bangalore 560071, Karnataka, India.",12.9634971,77.6380856
"Banaras Hindu Univ, Dept Entomol & Agr Zool, Inst Agr Sci, Varanasi 221005, Uttar Pradesh, India.",25.266519,82.9923467
"Univ Lyon 1, Lab Biometrie Genet & Biol Populat, CNRS, UMR 5558, 43 Bd 11 Novembre 1918, F-69622 Villeurbanne, France.",45.7788727,4.8679611
NA,,
"Senckenberg Res Inst, Grunelius Moellgaard Lab, Dept Bot & Mol Evolut, Senckenberganlage 25, D-60325 Frankfurt, Germany.",50.1169934,8.6515384
"Wildlife Inst India, Chandrabani Dehradun, Uttarakhand, India.",30.2834983,77.9735518
"Tezpur Univ, Dept Energy, Tezpur 784028, Assam, India.",26.6992778,92.8348947
"Univ St Andrews, Sch Biol, Div Environm & Evolutionary Biol, St Andrews KY16 9TH, Fife, Scotland.",56.3375565,-2.7917226
"UNIV HAWAII MANOA,DEPT ENTOMOL,CTR CONSERVAT RES & TRAINING,3050 MAILE WAY,GILMORE 310,HONOLULU,HI 96822, USA.",21.3017409,-157.8167491
"Annamalai Univ, Ctr Adv Study Marine Biol, Fac Marine Sci, Parangipettai 608502, Tamil Nadu, India.",11.4914533,79.7653509
NA,,
"Manipur Univ, Dept Life Sci, Imphal 795003, Manipur, India.",24.7522876,93.9280425
NA,,
"Univ Estadual Maringa, Dept Chem Engn, Av Colombo 5790, BR-87020900 Maringa, Parana, Brazil.",-23.4054048,-51.9399185
"Univ Delhi, Sch Environm Studies, Ctr Environm Management Degraded Ecosyst, Delhi 110007, India.",28.6785828,77.191584
NA,,
"Ramakrishna Mission Vidyapith, Vivekananda Inst Trop Mycol VINSTROM, Chennai 600004, Tamil Nadu, India.",13.039801,80.262752
NA,,
NA,,
"Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India.",12.0182619,79.8568461
"Tamil Nadu Agr Univ, Forest Coll, Mettupalayam 641301, India.",11.3027849,76.9383385
NA,,
