address,Latitude,Longitude,count,paperID
"Univ Gondar, Coll Med & Hlth Sci, Dept Med Microbiol, Gondar, Ethiopia",12.589413,37.4442387,1,A0784
"Woldia Univ, Fac Hlth Sci, Dept Nursing, Woldia, Ethiopia",11.8222082,39.5801651,1,A0784
"Univ Costa Rica, Lab Biol Mol, Estn Expt Fabio Baudrit Moreno, Alajuela, Costa Rica",10.0072853,-84.2659307,2,A2665
"Univ Costa Rica, Programa Mejoramiento Genet Guayaba, Estn Expt Fabio Baudrit Moreno, Alajuela, Costa Rica",10.0072853,-84.2659307,1,A2665
"Univ Mysore, Institut Excellence, Biopsychol Lab, Mysuru, India",12.3558876,76.6354054,1,A0988
NA,,,NA,C0076
NA,,,3,A2792
NA,,,1,A2899
NA,,,NA,C0190
NA,,,NA,C0059
NA,,,NA,A3241
NA,,,1,A3022
NA,,,NA,C0055
NA,,,NA,C0054
"Univ New South Wales, Sch Optometry & Vis Sci, Sydney, NSW, Australia",-33.8688197,151.2092955,2,A1722
"Brien Holden Vis Inst, Sydney, NSW, Australia",-33.7680812,150.9902364,2,A1722
"Childrens Univ Hosp, Dept Ophthalmol, Dublin, Ireland",53.3568931,-6.2620401,1,A1722
"Univ Canberra, Discipline Optometry & Vis Sci, Canberra, ACT, Australia",-35.242516,149.083954,1,A1722
NA,,,NA,A3295
NA,,,NA,A3255
"Univ Hyderabad, Ctr Earth & Space Sci, Hyderabad 500046, Andhra Pradesh, India",15.9128998,79.7399875,1,A1692
"Indian Inst Technol, Sch Water Resources, Kharagpur 721302, W Bengal, India",22.3179026,87.3102486,1,A1692
NA,,,NA,A3302
NA,,,3,A3168
NA,,,NA,B0004
NA,,,2,A2866
NA,,,1,A3207
NA,,,1,A2804
NA,,,NA,C0258
NA,,,NA,C0211
NA,,,NA,C0140
"HNB Garhwal Univ, Dept Bot, Srinagar 249161, Uttarakhand, India",30.2278191,78.8035453,2,A1722
"Mizoram Univ, Dept Forestry, Aizawl 796004, Mizoram, India",23.7364942,92.6642456,1,A1722
"Manipal Univ, Manipal Inst Technol, Dept Civil Engn, Manipal 576104, Karnataka, India",13.3525321,74.7928224,2,A1941
NA,,,NA,C0143
NA,,,2,A2976
"Univ Colombo, Fac Sci, Dept Zool, Colombo 03, Sri Lanka",6.900996,79.8548823,2,A1524
"Univ Colombo, Inst Biochem Mol Biol & Biotechnol, Colombo 03, Sri Lanka",6.8864646,79.8576393,1,A1524
"Univ Kelaniya, Fac Med, Mol Med Unit, Ragama, Sri Lanka",7.0283308,79.9274767,1,A1524
"Arizona State Univ, Ctr Evolutionary Med & Informat, Biodesing Inst, Tempe, AZ USA",33.4194179,-111.9283165,1,A1524
"Sanaria Inc, Rockville, MD 20850 USA",39.0958216,-77.1971631,1,A1524
"Birbal Sahni Inst Paleobot, Lucknow 226007, Uttar Pradesh, India",26.8671761,80.9392066,4,A2068
NA,,,2,A2996
"Guru Angad Dev Vet & Anim Sci Univ, Sch Publ Hlth & Zoonoses, Ludhiana, Punjab, India",30.8915684,75.8001012,4,A1692
"Guru Angad Dev Vet & Anim Sci Univ, Dept Vet Anat, Ludhiana, Punjab, India",30.8915684,75.8001012,1,A1692
"Univ Sydney, Sydney Sch Vet Sci, Camden, NSW, Australia",-34.0659551,150.6935958,1,A1692
"Natl Bur Plant Genet Resources, Tissue Culture & Cryopreservat Unit, New Delhi 110012, India",28.6282145,77.1493904,4,A2665
"Natl Bur Plant Genet Resources, Div Explorat & Collect, New Delhi 110012, India",28.6282145,77.1493904,2,A2665
"Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Sagar 470003, Madhya Pradesh, India",23.8265828,78.7751302,4,A0046
NA,,,NA,C0179
NA,,,1,A3141
NA,,,1,A2841
