cor.locs,Latitude,Longitude,cor.locs2
"Tata Inst Fundamental Res, Natl Ctr Biol Sci, Bellary Rd, Bangalore 560065, Karnataka, India.",13.0938741,77.5763042,"Tata Inst Fundamental Res, Natl Ctr Biol Sci, Bellary Rd, Bangalore 560065, Karnataka, India"
"ICAR Indian Inst Soil & Water Conservat, Res Ctr, Sect 27A, Chandigarh 160019, India.",30.7303302,76.8000091,"ICAR Indian Inst Soil & Water Conservat, Res Ctr, Sect 27A, Chandigarh 160019, India"
"NE Hill Univ, Ctr Ecodev, Shillong 793014, Meghalaya, India.",25.6131418,91.8981471,"NE Hill Univ, Ctr Ecodev, Shillong 793014, Meghalaya, India"
"Kansas State Univ, Dept Plant Pathol, Throckmorton Hall, Manhattan, KS 66506 USA.",39.1934982,-96.5845173,"Kansas State Univ, Dept Plant Pathol, Throckmorton Hall, Manhattan, KS 66506 USA"
"Pondicherry Univ, Sch Life Sci, Dept Ecol & Environm Sci, Pondicherry 605014, India.",12.0620765,79.8240715,"Pondicherry Univ, Sch Life Sci, Dept Ecol & Environm Sci, Pondicherry 605014, India"
"Greeley Mem Lab, 370 Prospect St, New Haven, CT 06511 USA.",41.3219383,-72.9245009,"Greeley Mem Lab, 370 Prospect St, New Haven, CT 06511 USA"
"ZARS RVS Krishi Vishwa Vidyalaya, Morena, India.",26.4947172,77.9940222,"ZARS RVS Krishi Vishwa Vidyalaya, Morena, India"
"Indian Inst Technol Kharagpur, Agr & Food Engn Dept, Kharagpur 721302, W Bengal, India.",22.3174278,87.3138859,"Indian Inst Technol Kharagpur, Agr & Food Engn Dept, Kharagpur 721302, W Bengal, India"
"Goa Univ, Sch Earth Ocean & Atmospher Sci, Taleigao, Goa, India.",15.4584136,73.8345548,"Goa Univ, Sch Earth Ocean & Atmospher Sci, Taleigao, Goa, India"
"GB Pant Natl Inst Himalayan Environm & Sustainabl, Sikkim Unit, Gangtok 737101, Sikkim, India.",27.3371364,88.6096575,"GB Pant Natl Inst Himalayan Environm & Sustainabl, Sikkim Unit, Gangtok 737101, Sikkim, India"
"Indian Inst Soil Sci, Berasia Rd, Bhopal 462038, Madhya Pradesh, India.",23.3077978,77.4069479,"Indian Inst Soil Sci, Berasia Rd, Bhopal 462038, Madhya Pradesh, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Punjab Agr Univ, Dept Forestry & Nat Resources, Ludhiana 141004, Punjab, India.",30.8999028,75.8107931,"Punjab Agr Univ, Dept Forestry & Nat Resources, Ludhiana 141004, Punjab, India"
"Forest Res Inst, Dehra Dun 248006, Uttarakhand, India.",30.3437685,77.9995589,"Forest Res Inst, Dehra Dun 248006, Uttarakhand, India"
"Bangalore Univ, Dept Studies Zool, Jnana Bharathi Campus, Bengaluru 560056, Karnataka, India.",12.9504095,77.5024372,"Bangalore Univ, Dept Studies Zool, Jnana Bharathi Campus, Bengaluru 560056, Karnataka, India"
"Amity Univ, Amity Inst Global Warming & Ecol Studies, Noida, India.",28.5442072,77.3318903,"Amity Univ, Amity Inst Global Warming & Ecol Studies, Noida, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Jadavpur Univ, Sch Oceanog Studies, Kolkata 700032, India.",22.4993818,88.3712752,"Jadavpur Univ, Sch Oceanog Studies, Kolkata 700032, India"
"Shiv Nadar Univ, Sch Nat Sci, Environm Sci & Nat Resource Management, Dadri, Gautam Budh Nag, India.",28.5267298,77.575363,"Shiv Nadar Univ, Sch Nat Sci, Environm Sci & Nat Resource Management, Dadri, Gautam Budh Nag, India"
"Indian Sch Mines, Indian Inst Technol, Dept Environm Sci & Engn, Dhanbad, Bihar, India.",25.9644427,85.2722472,"Indian Sch Mines, Indian Inst Technol, Dept Environm Sci & Engn, Dhanbad, Bihar, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Bharathiar Univ, Dept Bot, Coimbatore 641046, Tamil Nadu, India.",11.0390221,76.87642,"Bharathiar Univ, Dept Bot, Coimbatore 641046, Tamil Nadu, India"
"Govt India, Dept Space, NRSC ISRO, Reg Remote Sensing Ctr West, CAZRI Campus, Jodhpur 342003, Rajasthan, India.",26.2592753,72.9944875,"Govt India, Dept Space, NRSC ISRO, Reg Remote Sensing Ctr West, CAZRI Campus, Jodhpur 342003, Rajasthan, India"
NA,,,NA
"Indian Agr Res Inst, Div Environm Sci, New Delhi 110012, India.",28.6282145,77.1493904,"Indian Agr Res Inst, Div Environm Sci, New Delhi 110012, India"
"Natl Environm Engn Res Inst, Environm Biotechnol Div, Nehru Marg, Nagpur 440020, Maharashtra, India.",21.1308193,79.1182605,"Natl Environm Engn Res Inst, Environm Biotechnol Div, Nehru Marg, Nagpur 440020, Maharashtra, India"
"UP Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vig, Dept Parasitol, Coll Vet Sci & Anim Husb, Mathura 281001, India.",27.480921,77.6879696,"UP Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vig, Dept Parasitol, Coll Vet Sci & Anim Husb, Mathura 281001, India"
NA,,,NA
