"","address","count","paperID","Latitude","Longitude"
"1366",NA,NA,"C0058",NA,NA
"1367",NA,"1","A2863",NA,NA
"1368",NA,NA,"B0016",NA,NA
"1371",NA,NA,"C0137",NA,NA
"1380",NA,NA,"B0023",NA,NA
"1388",NA,NA,"C0132",NA,NA
"1389",NA,"3","A3044",NA,NA
"1390",NA,NA,"C0010",NA,NA
"1397",NA,"2","A3004",NA,NA
"1398","ICAR Complex NEH Reg, Umiam 793103, Meghalaya, India","10","A2692",NA,NA
"1399","Kisan PG Coll, Post Grad Dept Bot, Bahraich 271801, Uttar Pradesh, India","2","A2741",NA,NA
"1400","CSIR Cent Inst Min & Fuel Res, Environm Management Div, Digwadih Campus,PO FRI, Dhanbad 828108, Jharkhand, India","3","A1576",NA,NA
"1401",NA,NA,"C0130",NA,NA
